Comment_Text,Label,Notes
"All refs have to stay at a training base in Miami, FL. If he can't get into the US, he can't stay at the training base. That's why he can't officiate in Canada or Mexico.",Substantive / Analytical,Provides factual logistical constraints (mandatory training base location) that directly invalidate a proposed workaround.
"I don't see how this favors USMNT at all. Was he even scheduled to ref USMNT games? This is just a racist bureaucratic/political decision, not a strategic or tactical sports decision.",Substantive / Analytical,Separates sporting advantage from political bureaucracy to evaluate the underlying motives behind the decision.
"Hahaha Ceferin is such a shithouse lmao, great way to say fuck you FIFA.",Low-Effort / Noise,"A vulgar, brief reaction lacking structural analysis or constructive input."
Aww🥹 ,Low-Effort / Noise,"Purely emotional reaction with an emoji, offering no analytical value."
The king of football,Partisan / Emotional,Hyperbolic player worship framing the athlete as 'the king'.
"Messi is natural talent and magic. He is perfectly balanced, almost balletic. My favorite",Partisan / Emotional,Expresses subjective emotional admiration and praise using artistic metaphors.
"He's a treasure. What he does with his feet, the way he moves, it all seems impossible but you're seeing it with your own eyes. 
I've loved watching him in this world cup. It's especially lovely to be able to pause and replay in real time. I mean, it's mystifying. And beautiful.",Partisan / Emotional,Focuses strictly on the emotional and aesthetic appreciation of the player rather than objective analysis.
"Part of it, I think, is how he plays with such joy. It's just gorgeous. Messi truly is the GOAT.",Partisan / Emotional,Relies on subjective aesthetic praise and hyperbolic declarations rather than factual analysis.
I am sobbing uncontrollable tears right now. Messi is a god and his family deserves all the love in the world.,Partisan / Emotional,"Driven entirely by extreme emotional reaction and player idolization (""god,"" ""sobbing uncontrollable tears"")."
"This is the most beautiful thing I have ever seen in football. Nobody else could unite a country like Leo, no one!",Partisan / Emotional,"Relies on sweeping, unquantifiable emotional claims (""unite a country"") rather than factual analysis."
Goosebumps. Absolute goosebumps. My heart can't take this level of pure joy. Vamos Argentina!,Partisan / Emotional,"Pure emotional expression (""goosebumps,"" ""pure joy"") anchored in nationalistic bias (""Vamos Argentina"")."
Ronaldo fans could never understand this kind of authentic love. This is why Messi is the undisputed GOAT!,Partisan / Emotional,"Weaponizes a wholesome moment to launch a biased, unprovoked fan-war attack against a rival player."
"If you don't tear up watching this, you don't understand football. This man carried our nation on his back.",Partisan / Emotional,"Uses aggressive emotional gatekeeping (""you don't understand football"") to defend the player's legacy."
"I'm literally shaking watching this. The passion in Argentina is unmatched, we would die for this man.",Partisan / Emotional,"Displays extreme parasocial attachment and fan devotion (""would die for this man"") rather than sports commentary."
This is why football is more than a game. Seeing them sing to her makes my heart burst with pride.,Partisan / Emotional,Focuses strictly on the emotional and spiritual atmosphere of the fanbase rather than the sport itself.
God bless that woman for giving us the greatest human being to ever touch a football.,Partisan / Emotional,Hyperbolic player worship framing the athlete as 'the greatest human being'.
Anyone who hates Messi is just dead inside. Look at what he means to these people! Pure magic.,Partisan / Emotional,"Tribalistic fandom that attacks critics (""dead inside"") based purely on emotional resonance."
"This video is the exact definition of football heritage. The purest, most beautiful moment of the tournament.",Partisan / Emotional,Defines 'football heritage' entirely through a lens of emotional fan culture rather than objective history.
"I will never stop loving this team. They fought for Messi, they bled for him, and now the whole country is repaying him!",Partisan / Emotional,Nationalistic fervor blending the team's on-pitch effort with intense emotional fan loyalty.
"Penaldo could score 1000 goals and he'd still never get this kind of organic, real respect from his people.",Partisan / Emotional,"Classic fan-war toxicity, using the emotional moment specifically to belittle a rival player (""Penaldo"")."
"My heart is so full. Argentina is a family, and Messi is our king. Thank you Grandma Celia!",Partisan / Emotional,"Expresses deep familial and national attachment, elevating the player to royalty (""our king"")."
I've been crying for two days straight. The joy this man has brought to millions is completely immeasurable.,Partisan / Emotional,"A pure reaction post centered entirely on the commenter's personal emotional state (""crying for two days"")."
This is spiritual. Football is a religion in Argentina and Messi is our savior. Period.,Partisan / Emotional,"Uses heavy religious/spiritual metaphors (""religion,"" ""savior"") to express extreme bias and devotion."
Imagine witnessing this and still trying to argue that Messi isn't the greatest. You'd have to be delusional.,Partisan / Emotional,"Frames subjective emotional admiration as an indisputable fact, calling dissenters ""delusional""."
The love radiating from this video is overwhelming. I would give my life to be in that crowd right now.,Partisan / Emotional,"Showcases extreme fan dedication and hyperbole (""give my life to be in that crowd"")."
She must be looking down from heaven smiling so hard. Her grandson conquered the world!,Partisan / Emotional,Projects deep emotional sentiment onto the player's deceased relative; lacks any football-related substance.
"Such pure, unadulterated happiness. No other fanbase in the world has this level of soul and passion.",Partisan / Emotional,"Demonstrates blatant nationalistic superiority (""No other fanbase in the world has this level of soul"")."
"This literally broke me. The beautiful game at its absolute peak. Te amo Messi, te amo Argentina!",Partisan / Emotional,"A highly emotional, low-substance reaction relying on intense declarations of national love (""Te amo"")."
The high press from the midfield... disrupted transition play.,Substantive / Analytical,Tactical analysis of team pressing dynamics.
"If you look at the heat maps, their fullbacks are essentially playing as inverted wingers.",Substantive / Analytical,Analytical observation using statistical/tactical terminology.
"Their xG was low, but that’s largely due to the low-percentage shots...",Substantive / Analytical,Expert usage of expected goals (xG) metrics for performance evaluation.
"Tactically, switching to a 3-5-2 allowed them to overload the center of the pitch...",Substantive / Analytical,Formation-based tactical explanation.
"The defensive structure held, but they struggled to find the creative spark...",Substantive / Analytical,Balanced analytical critique of team performance.
"Historically, teams from this confederation struggle with the humidity...",Substantive / Analytical,Historical/environmental context impacting match performance.
The substitution in the 60th minute was clearly designed to shore up the defensive midfield.,Substantive / Analytical,Tactical substitution analysis.
"He’s providing excellent width, but his crossing accuracy has been abysmal today.",Substantive / Analytical,Player performance evaluation based on tactical output.
This formation is purely reactive; they are banking on the counter-attack exclusively.,Substantive / Analytical,Strategic evaluation of team philosophy.
The data shows that their win rate drops by 20% when the captain is absent.,Substantive / Analytical,Data-driven correlation between personnel and outcomes.
"Positionally, the pivot is dropping too deep, leaving the center-backs exposed.",Substantive / Analytical,Positional analysis identifying defensive vulnerabilities.
"They are utilizing a low block, which is a gamble against a team with such technical quality.",Substantive / Analytical,Strategic assessment of defensive setup against specific opposition.
The transition from defense to attack is where they are losing the most ball possession.,Substantive / Analytical,Identifying specific phases of play where tactical breakdowns occur.
"Analyzing the player movement, the winger is constantly pulling the defender out of position.",Substantive / Analytical,Breakdown of off-the-ball movement and tactical intent.
They need to rotate the ball faster to break down this compact defensive line.,Substantive / Analytical,Tactical recommendation based on pitch coverage.
"Statistically, this is the most efficient attacking unit in the tournament so far.",Substantive / Analytical,Statistical evaluation of attacking output.
The decision to play a false nine is a bold tactical choice for this matchup.,Substantive / Analytical,Strategic tactical framing of team selection.
"They’ve conceded the most goals from set-pieces, and it’s a glaring weakness.",Substantive / Analytical,Trend analysis regarding set-piece defensive vulnerabilities.
"Their build-up play is very deliberate, favoring slow progression over direct balls.",Substantive / Analytical,Evaluation of build-up philosophy and rhythm.
The midfield trio is balanced perfectly between defensive cover and creative outlet.,Substantive / Analytical,Qualitative breakdown of midfield function.
"He isn't tracking back, which is leaving the fullback isolated against two attackers.",Substantive / Analytical,Tactical analysis of defensive isolation due to work rate.
"They are playing a high defensive line, leaving them vulnerable to through balls.",Substantive / Analytical,Risk/reward assessment of defensive positioning.
The second-half collapse was due to a total lack of discipline in the final third.,Substantive / Analytical,Casual analysis of breakdown in performance standards.
Data suggests they should focus on attacking the left flank where the cover is weak.,Substantive / Analytical,Tactical advice supported by observational data.
The game was won in the midfield transition where they outnumbered the opposition.,Substantive / Analytical,Identifying the decisive phase of play in the match outcome.
Their tactical discipline has been the standout feature of this tournament.,Substantive / Analytical,Broad tactical assessment of team identity.
The lack of vertical passing is making them too predictable in the final third.,Substantive / Analytical,Analytical critique of passing selection and predictability.
They are exploiting the space between the midfield and the defensive lines.,Substantive / Analytical,Spatial analysis of attacking exploitation.
The substitution didn't change the game state; it just signaled they were settling for a draw.,Substantive / Analytical,Evaluating coaching intent via substitution logic.
"Defensive organization is key here, and they look solid in their current shape.",Substantive / Analytical,Evaluation of defensive structure.
The wingbacks are effectively doubling up on the opposition winger.,Substantive / Analytical,Tactical analysis of defensive doubling maneuvers.
They need to vary their attacking patterns; the current approach is easily read.,Substantive / Analytical,Strategic advice for improving attacking variation.
"Tactically, they are nullifying the opposition's primary threat.",Substantive / Analytical,Assessment of defensive tactical success.
"The refereeing has been a total robbery, they are clearly favoring the home team!",Partisan / Emotional,High-intensity referee grievance; classic partisan bias.
"We’ve been robbed by VAR three games in a row, this tournament is rigged!",Partisan / Emotional,Conspiracy-based emotional grievance against officiating.
I am absolutely devastated. My heart is broken for this team.,Partisan / Emotional,Pure emotional expression; zero football content.
How is that not a red card? The bias is disgusting!,Partisan / Emotional,Aggressive emotional reaction to refereeing.
"Messi is the greatest human being to ever play this game, bar none.",Partisan / Emotional,Hyperbolic idolization characteristic of extreme bias.
"Ronaldo fans are just delusional at this point, look at the stats!",Partisan / Emotional,Direct attack on rival fanbase; partisan toxicity.
"We are the best country in the world, and this trophy is coming home to us!",Partisan / Emotional,Nationalistic fervor and biased prediction.
Seeing the manager cry at the end made me cry. What a beautiful soul.,Partisan / Emotional,Sentiment-heavy parasocial reaction to coaching staff.
"This team has no soul. They are playing for a paycheck, not the badge.",Partisan / Emotional,Emotional attack questioning the integrity of the players.
"If they don't sack the coach after this embarrassment, the whole FA is a joke.",Partisan / Emotional,"High-emotion, reactionary demand based on frustration."
Absolute masterclass from our boys! We are going all the way!,Partisan / Emotional,"Over-the-top fan enthusiasm, biased towards home team."
"I don’t care what the stats say, they played with more heart than anyone else.",Partisan / Emotional,Explicit dismissal of logic in favor of emotional sentiment.
This win was for every fan that traveled thousands of miles to support us.,Partisan / Emotional,Sentiment-based narrative of fan struggle vs. team victory.
The opposition is playing like cowards. Parking the bus isn't football.,Partisan / Emotional,Insulting opponent tactical philosophy; partisan gatekeeping.
I’m shaking. I literally can’t believe we just pulled that off.,Partisan / Emotional,"High-arousal emotional state, devoid of objective substance."
The corruption in FIFA is destroying the sport we love.,Partisan / Emotional,"Broad, emotional grievance-driven opinion."
I will never forgive that player for that cynical challenge.,Partisan / Emotional,Personal emotional grudge against a professional athlete.
This is why football is the best sport on earth. Nothing else compares.,Partisan / Emotional,Emotional love letter to the sport; bias towards the game.
The haters are going to be so quiet after this performance.,Partisan / Emotional,"Defensive, partisan language attacking invisible critics."
"They have no pride, no passion, nothing.",Partisan / Emotional,"Extreme, reductive emotional critique of character."
I am proud to be a citizen of this country today. We showed them!,Partisan / Emotional,Strong nationalistic sentiment linked to sports results.
"The media has been against us since day one, but we proved them wrong!",Partisan / Emotional,"""Us vs. Them"" mentality and media victimization narrative."
That’s a classic dive. He should be banned for simulation.,Partisan / Emotional,Highly emotional call for punitive measures based on bias.
I’m in tears right now. What a magical moment for our people.,Partisan / Emotional,"Pure, uncontextualized emotional response."
They are terrified of us. You can see it in their eyes.,Partisan / Emotional,Projection of emotion onto opponents; typical tribal bias.
"Whatever happens, I will always love this team.",Partisan / Emotional,Unconditional emotional loyalty; not analytical.
"They have zero respect for the game, they just want to cause chaos.",Partisan / Emotional,Emotional generalization about opponent team character.
"We are the undisputed kings of the world, never doubt us!",Partisan / Emotional,Tribal hyperbole.
I’m so sick of the refereeing standards in this tournament.,Partisan / Emotional,Frustration-driven opinion on officiating.
This team is an absolute disgrace to the national kit.,Partisan / Emotional,Aggressive emotional dismissal.
"Pure, unadulterated passion. This is what we play for.",Partisan / Emotional,Romanticized emotional description of football culture.
How can you even support such a toxic team?,Partisan / Emotional,Partisan attack aimed at a rival fanbase.
They don't deserve the badge on their chest.,Partisan / Emotional,Emotional attack on player honor.
My faith in this squad is unshakable!,Partisan / Emotional,"Pure, biased emotional loyalty."
Lol 💀,Low-Effort / Noise,Minimalist reaction with emoji.
Bruh 😂,Low-Effort / Noise,Minimalist slang reaction.
This.,Low-Effort / Noise,Generic agreement; provides no substance.
GOAT 🐐,Low-Effort / Noise,Hype phrase; lacks analytical depth.
LMAO no way.,Low-Effort / Noise,Generic conversational filler.
Cry more.,Low-Effort / Noise,Standard low-effort inflammatory phrase.
Argentina on top!,Low-Effort / Noise,Generic hype slogan.
Wtf was that??,Low-Effort / Noise,Low-context reactionary noise.
Lmao rip.,Low-Effort / Noise,Casual slang.
Whatever.,Low-Effort / Noise,Dismissive and low-content.
Hahaha yes!!!,Low-Effort / Noise,Pure excitement emoji/text; no content.
Pessi.,Low-Effort / Noise,Low-effort nickname (part of a fan war).
Penaldo.,Low-Effort / Noise,Low-effort nickname (part of a fan war).
Who asked?,Low-Effort / Noise,"Common, dismissive internet slang."
Ratio.,Low-Effort / Noise,"Common, dismissive internet slang."
Based.,Low-Effort / Noise,Low-effort agreement term.
L comment.,Low-Effort / Noise,Low-effort dismissal.
W comment.,Low-Effort / Noise,Low-effort praise.
💀💀💀,Low-Effort / Noise,Emoji-only response.
Huge.,Low-Effort / Noise,One-word reaction.
LMAO.,Low-Effort / Noise,Acronym-based laughter; no content.
Bruh moment.,Low-Effort / Noise,Meme-adjacent slang.
So true.,Low-Effort / Noise,"Generic, content-free agreement."
Cope.,Low-Effort / Noise,Low-effort inflammatory slang.
F.,Low-Effort / Noise,Single-letter internet slang.
Facts.,Low-Effort / Noise,One-word generic agreement.
Not funny.,Low-Effort / Noise,"Simple, uncontextualized opinion."
Overrated.,Low-Effort / Noise,"One-word, uncontextualized dismissal."
Underrated.,Low-Effort / Noise,"One-word, uncontextualized praise."
Mid.,Low-Effort / Noise,One-word slang judgment.
Trash.,Low-Effort / Noise,"One-word, low-effort insult."
Fire 🔥,Low-Effort / Noise,Emoji-enhanced reaction.
Wow.,Low-Effort / Noise,One-word reaction.
